Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.7982E-05,0.05251,-0.013358,0,0,0,2.0304,0.010955,0.00011029,7.5942E-08,0.029243,-7.82E-08,0.018838,0,0,0,0,0,0,package://agv/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://agv/meshes/base_link.STL,,bodyy-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Wheel,-8.3267E-17,1.2434E-05,0.0175,0,0,0,0.15008,7.2602E-05,-1.3674E-15,1.8E-14,7.2596E-05,-1.7782E-14,0.0001208,0,0,0,0,0,0,package://agv/meshes/Left_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://agv/meshes/Left_Wheel.STL,,wheel-1,Origin_lw,Axis_lw,lw,continuous,0.078146,-0.076629,0.033354,1.5708,0.74576,0,base_link,0,0,1,,,,,,,,,,,,
Right_Wheel,-1.3878E-17,1.2434E-05,-0.0175,0,0,0,0.15008,7.2602E-05,-1.3674E-15,1.8E-14,7.2596E-05,-1.7782E-14,0.0001208,0,0,0,0,0,0,package://agv/meshes/Right_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://agv/meshes/Right_Wheel.STL,,wheel-2,Origin_rw,Axis_rw,rw,continuous,0.078146,0.10337,0.033354,1.5708,0.28991,0,base_link,0,0,1,,,,,,,,,,,,
Castor_Holder1,1.38777878078145E-17,0.0278545725602815,-1.38777878078145E-17,0,0,0,0.0125096896264229,2.92007120935875E-06,-8.34472187194977E-22,-3.24777992708325E-09,1.65017674110526E-06,7.02147854422582E-23,2.61649486462288E-06,0,0,0,0,0,0,package://agv/meshes/Castor_Holder1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv/meshes/Castor_Holder1.STL,,Dummy holder-2,Origin_ch1,Axis_ch1,ch1,continuous,-0.061854,-0.086629,0.006354,1.5708,0,-0.010697,base_link,0,1,0,,,,,,,,,,,,
Castor_Wheel1,6.93889390390723E-18,-2.77555756156289E-17,-4.16333634234434E-17,0,0,0,0.0177238850700305,2.37570442022247E-06,-3.91485784711108E-17,2.08354491983995E-08,2.37548153974429E-06,-3.65866341682527E-16,4.32323453510918E-06,0,0,0,0,0,0,package://agv/meshes/Castor_Wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv/meshes/Castor_Wheel1.STL,,dummy_wheel-2,Origin_cw1,Axis_cw1,cw1,continuous,0,0.01,0,0,0,0,Castor_Holder1,0.010697,0,0.99994,,,,,,,,,,,,
Castor_Holder2,0,0.0278545725602815,0,0,0,0,0.0125096896264228,2.92007120935875E-06,-5.53169257620765E-22,-3.24777992708309E-09,1.65017674110526E-06,-6.32549700520083E-22,2.61649486462287E-06,0,0,0,0,0,0,package://agv/meshes/Castor_Holder2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv/meshes/Castor_Holder2.STL,,Dummy holder-1,Origin_ch2,Axis_ch2,ch2,continuous,-0.061854,0.11337,0.006354,1.5708,0,-0.010697,base_link,0,1,0,,,,,,,,,,,,
Castor_Wheel2,2.77555756156289E-17,-2.42861286636753E-17,0,0,0,0,0.0177238850700305,2.37570442022247E-06,-3.9146797319591E-17,2.08354491983988E-08,2.3754815397443E-06,-3.65865976726571E-16,4.32323453510918E-06,0,0,0,0,0,0,package://agv/meshes/Castor_Wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agv/meshes/Castor_Wheel2.STL,,dummy_wheel-1,Origin_cw2,Axis_cw2,cw2,continuous,0,0.01,0,0,0,0,Castor_Holder2,0.010697,0,0.99994,,,,,,,,,,,,
Lidar,2.7756E-17,0.005,1.7347E-18,0,0,0,0.0049087,2.3265E-07,-5.9287E-40,1.0355E-54,3.835E-07,-1.3184E-38,2.3265E-07,0,0,0,0,0,0,package://agv/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://agv/meshes/Lidar.STL,,Lidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.16185,0.013371,0.078354,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
